cluster	uid	wt_uid	wt_uid_dataset
1531d68da8c9695686b7_mega	1531d68da8c9695686b7_mega	1531d68da8c9695686b7	mega
e23b8e885caf0009dea9_mega	e23b8e885caf0009dea9_mega	e23b8e885caf0009dea9	mega
12a97526f5538e795004_mega	12a97526f5538e795004_mega	12a97526f5538e795004	mega
12a97526f5538e795004_mega	1dc1ec899be6ef5bc9c1_mega	1dc1ec899be6ef5bc9c1	mega
861d368f8893c8966ded_mega	861d368f8893c8966ded_mega	861d368f8893c8966ded	mega
5d089892785692506fa0_mega	5d089892785692506fa0_mega	5d089892785692506fa0	mega
4ecbbcf348fa41bcf7b1_mega	4ecbbcf348fa41bcf7b1_mega	4ecbbcf348fa41bcf7b1	mega
211f0b78d44308a94943_mega	211f0b78d44308a94943_mega	211f0b78d44308a94943	mega
2d319fa3904ad2402164_mega	2d319fa3904ad2402164_mega	2d319fa3904ad2402164	mega
08a18557fc899c149005_mega	08a18557fc899c149005_mega	08a18557fc899c149005	mega
161fbfb2f5822dded905_mega	161fbfb2f5822dded905_mega	161fbfb2f5822dded905	mega
d0202d819995fea1dec9_mega	d0202d819995fea1dec9_mega	d0202d819995fea1dec9	mega
d0202d819995fea1dec9_mega	43f06e2f591e3f78e218_mega	43f06e2f591e3f78e218	mega
d0202d819995fea1dec9_mega	30b095e6d78a53937ce7_mega	30b095e6d78a53937ce7	mega
5ac78ac3cedeaa8d3196_mega	5ac78ac3cedeaa8d3196_mega	5ac78ac3cedeaa8d3196	mega
5ac78ac3cedeaa8d3196_mega	e0fd634b1c0258c1e516_mega	e0fd634b1c0258c1e516	mega
a6e2bb9ebb640f24523c_mega	a6e2bb9ebb640f24523c_mega	a6e2bb9ebb640f24523c	mega
6bc12cf52cce9a6a2c43_mega	6bc12cf52cce9a6a2c43_mega	6bc12cf52cce9a6a2c43	mega
3d58388f7216b2d7c961_mega	3d58388f7216b2d7c961_mega	3d58388f7216b2d7c961	mega
574d41deb62426d22b71_mega	574d41deb62426d22b71_mega	574d41deb62426d22b71	mega
cc79efa5040a9d5ba94e_mega	cc79efa5040a9d5ba94e_mega	cc79efa5040a9d5ba94e	mega
ee21bb80e979a198e5da_mega	ee21bb80e979a198e5da_mega	ee21bb80e979a198e5da	mega
3a1e1d426ccdc34d6bdc_mega	3a1e1d426ccdc34d6bdc_mega	3a1e1d426ccdc34d6bdc	mega
6b8b8b08a813e70e499e_mega	6b8b8b08a813e70e499e_mega	6b8b8b08a813e70e499e	mega
3b359b2f0674992f71d4_mega	3b359b2f0674992f71d4_mega	3b359b2f0674992f71d4	mega
5f63dc90b465db613d65_mega	5f63dc90b465db613d65_mega	5f63dc90b465db613d65	mega
18444b5688501fa01055_mega	18444b5688501fa01055_mega	18444b5688501fa01055	mega
578264fcefdc3662b129_mega	578264fcefdc3662b129_mega	578264fcefdc3662b129	mega
ae8f9ea9c07d3afaa6c9_mega	ae8f9ea9c07d3afaa6c9_mega	ae8f9ea9c07d3afaa6c9	mega
ae8f9ea9c07d3afaa6c9_mega	360e66ad345127f9b139_mega	360e66ad345127f9b139	mega
2df66e157786d2d80405_mega	2df66e157786d2d80405_mega	2df66e157786d2d80405	mega
98b52960774821ab1b82_mega	98b52960774821ab1b82_mega	98b52960774821ab1b82	mega
98b52960774821ab1b82_mega	906c66c042f732267560_mega	906c66c042f732267560	mega
98b52960774821ab1b82_mega	df7ea7952ed565c3d36a_mega	df7ea7952ed565c3d36a	mega
98b52960774821ab1b82_mega	ca0f91bf202b96435ae7_mega	ca0f91bf202b96435ae7	mega
2d20168fae5c860efb85_mega	2d20168fae5c860efb85_mega	2d20168fae5c860efb85	mega
2d20168fae5c860efb85_mega	83bcc0344fb0ca7535a0_mega	83bcc0344fb0ca7535a0	mega
2d20168fae5c860efb85_mega	554a96f5ca4d01574547_mega	554a96f5ca4d01574547	mega
2d20168fae5c860efb85_mega	17c63552b827037f555f_mega	17c63552b827037f555f	mega
85af5ebaaf79aff682e8_mega	85af5ebaaf79aff682e8_mega	85af5ebaaf79aff682e8	mega
85af5ebaaf79aff682e8_mega	eddc3b4634ac90d16a56_mega	eddc3b4634ac90d16a56	mega
fe8f019a3f93996291ea_mega	fe8f019a3f93996291ea_mega	fe8f019a3f93996291ea	mega
a70253b4771ad86abaee_mega	a70253b4771ad86abaee_mega	a70253b4771ad86abaee	mega
a70253b4771ad86abaee_mega	a6a0b60af2c0e90ea5f4_mega	a6a0b60af2c0e90ea5f4	mega
