qseqid	sseqid	nident	pident	positive	ppos	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
1531d68da8c9695686b7_mega	1531d68da8c9695686b7_mega	59	100.0	59	100.0	59	0	0	1	59	1	59	4.8399999999999995e-40	120.0
1531d68da8c9695686b7_mega	02ee5fe323e415fca3bb_tmdbs	15	50.0	20	66.67	30	11	1	23	48	226	255	0.009	26.9
1531d68da8c9695686b7_mega	f79d1cdea8e3d563094f_tmdbs	11	26.829	20	48.78	41	29	1	19	58	89	129	4.1	19.6
1531d68da8c9695686b7_mega	ba1c2688861babbbbcd0_S669	11	26.829	20	48.78	41	29	1	19	58	90	130	4.1	19.6
1531d68da8c9695686b7_mega	18c4583f14fc1bbe291a_ptmulnr	10	26.316	18	47.37	38	26	1	4	41	124	159	7.6	18.9
1531d68da8c9695686b7_mega	18c4583f14fc1bbe291a_fireprot	10	26.316	18	47.37	38	26	1	4	41	124	159	7.6	18.9
e23b8e885caf0009dea9_mega	e23b8e885caf0009dea9_mega	57	100.0	57	100.0	57	0	0	1	57	1	57	3.62e-40	120.0
e23b8e885caf0009dea9_mega	e06ebb1d2f058a3c7753_mega	10	25.641	20	51.28	39	28	1	1	39	2	39	0.58	21.2
e23b8e885caf0009dea9_mega	cec24d02005c641908d1_tmdbs	12	33.333	17	47.22	36	17	1	4	39	1	29	0.6	21.6
e23b8e885caf0009dea9_mega	40f4d066f50653b120bf_tmdbs	12	34.286	16	45.71	35	16	1	5	39	1	28	0.96	21.2
e23b8e885caf0009dea9_mega	40f4d066f50653b120bf_S2648	12	34.286	16	45.71	35	16	1	5	39	1	28	0.96	21.2
e23b8e885caf0009dea9_mega	fd5b818be416eb14d47e_S2648	12	46.154	15	57.69	26	14	0	30	55	350	375	1.1	21.2
e23b8e885caf0009dea9_mega	3b77264ce39a01c95b59_tmdbs	12	46.154	15	57.69	26	14	0	30	55	352	377	1.1	21.2
e23b8e885caf0009dea9_mega	264ee3d0a35e75436eb5_tmdbs	12	46.154	15	57.69	26	14	0	30	55	353	378	1.1	21.2
e23b8e885caf0009dea9_mega	264ee3d0a35e75436eb5_fireprot	12	46.154	15	57.69	26	14	0	30	55	353	378	1.1	21.2
